question_id,question,answer,field,year,correct answer,question_english,answer_english,field_english,question_type_category,question_type_format,question_type_clinical_domain,question_type_specialty_subtype,question_type_complexity_level,question_type_is_clinical_case,question_type_required_knowledge,question_type_gender,question_type_age_value,question_type_age_unit,question_type_age_ageCategory
16021,کودک شیرخوار پسر 9 ماهه به علت بی قراری دوره ای همراه با استفراغ صفراوی بستری می شود. به نظر شما بهترین اقدام تشخیصی در مورد این بیمار کدام است؟,"{'1': 'عکس ساده شکم خوابیده و ایستاده ', '2': 'گرافی سری روده باریک (Upper G.I Series) ', '3': 'سونوگرافی شکم ', '4': 'سی\u200cتی\u200cاسکن شکم با کنتراست'}",جراحی,1394,3,"A 9-month-old male infant is admitted due to intermittent irritability accompanied by bilious vomiting. In your opinion, what is the best diagnostic approach for this patient?","{""1"": ""Supine and upright plain abdominal X-ray"", ""2"": ""Upper G.I Series"", ""3"": ""Abdominal ultrasound"", ""4"": ""Abdominal CT scan with contrast""}",Surgery,diagnosis,case_scenario,pediatrics,gastroenterology,intermediate,1.0,"[""Pediatric gastroenterology"", ""Differential diagnosis of vomiting in infants"", ""Diagnostic approaches to intestinal obstruction in infants""]",male,9,months,Infant (0-1)
10144,والدین کودک 2.5 ساله را با شکایت رنگ پریدگی به درمانگاه آورده اند. در معاینه ارگانومگالی ندارد. در سمع قلبسوفل II/VI سمع می شود. در CBC بیمار MCV=67fl و MCH=21 می باشد. همه تشخیص ها مطرح می باشند،به جز:,"{'1': 'مسمومیت با سرب ', '2': 'آنمی فقر آهن ', '3': 'الفا تالاسمی مینور ', '4': 'سیکل سل'}",کودکان,1396,4,"Parents brought a 2.5-year-old child to the clinic complaining of pallor. On examination, there is no organomegaly. A II/VI heart murmur is heard on auscultation. The patient's CBC shows MCV=67fl and MCH=21. All diagnoses are possible, except for:","{""1"": ""Lead poisoning"", ""2"": ""Iron deficiency anemia"", ""3"": ""Alpha thalassemia minor"", ""4"": ""Sickle cell""}",Pediatrics,diagnosis,multiple_choice,pediatrics,hematology,intermediate,1.0,"[""Pediatric hematology"", ""Anemia diagnosis"", ""CBC interpretation"", ""Differential diagnosis of microcytic anemia in children""]",unspecified,2.5,years,Child (2-17)
20541,"خانم 30 ساله به دلیل طپش قلب و تعریق مراجعه کرده است. در معاینه تیروئید حدود 30 گرم با قوام نرم لمس می شود. در آزمایشات:(TSH =0/1 mIU/L (0.3-4.5) , FT4= 1ng/dL (0.8-1.7دارد. اقدام بعدی کدام است؟","{'1': 'اندازه گیری T3RU ', '2': 'اندازه گیری Free T3 سرم ', '3': 'اسکن تیروئید ', '4': 'سونوگرافی تيروئيد'}",غدد,1390,2,"A 30-year-old woman presents with palpitations and sweating. On examination, the thyroid is palpated at approximately 30 grams with a soft consistency. Laboratory tests show: TSH = 0.1 mIU/L (0.3-4.5), FT4 = 1 ng/dL (0.8-1.7). What is the next step?","{""1"": ""Measure T3RU"", ""2"": ""Measure serum Free T3"", ""3"": ""Thyroid scan"", ""4"": ""Thyroid ultrasound""}",Endocrinology,diagnosis,case_scenario,endocrinology,thyroid,intermediate,1.0,"[""thyroid function tests interpretation"", ""hyperthyroidism symptoms"", ""thyroid physical examination"", ""next steps in evaluating thyroid dysfunction""]",female,30,years,Adult (18+)
3370,خانم 18 ساله ای به علت آمنوره اولیه مراجعه کرده است. موهای اگزیلار و پوبیس رشد نکرده، پستان ها رشد در حد نرمال دارند و FSH نرمال می باشد. کدام یک از تشخيصهای زیر محتمل تر است؟,"{'1': 'سندروم ترنر ', '2': 'سندروم Sweyer ', '3': 'عدم حساسیت به آندروژن ', '4': 'منوپوز زودرس'}",زنان,1399,3,"An 18-year-old woman presented with primary amenorrhea. Axillary and pubic hair have not grown, breast development is normal, and FSH is normal. Which of the following diagnoses is most likely?","{""1"": ""Turner Syndrome"", ""2"": ""Swyer Syndrome"", ""3"": ""Androgen Insensitivity Syndrome"", ""4"": ""Premature Menopause""}",Obstetrics and Gynecology,diagnosis,multiple_choice,gynecology,reproductive_endocrinology,intermediate,1.0,"[""primary amenorrhea"", ""pubertal development"", ""hormonal evaluation (FSH)"", ""differential diagnosis of primary amenorrhea""]",female,18,years,Adult (18+)
14562,در بیوپسی پروستات آقای 70 ساله ای غدد کوچک متراکم دیده می شود که از یک لایه سلول با هستک درشت پوشیده شده اند. کدام تشخیص زیر را مطرح می کنید؟,"{'1': 'هیپرپلازی خوش\u200cخیم ', '2': 'آدنوکارسینوم ', '3': 'پروستاتیت مزمن ', '4': 'انفارکت پروستات'}",پاتولوژی,1394,2,"In a prostate biopsy of a 70-year-old man, small, crowded glands are seen, lined by a single layer of cells with prominent nucleoli. Which of the following diagnoses would you consider?","{""1"": ""Benign Prostatic Hyperplasia"", ""2"": ""Adenocarcinoma"", ""3"": ""Chronic Prostatitis"", ""4"": ""Prostatic Infarction""}",Pathology,diagnosis,direct_question,pathology,Uropathology,intermediate,1.0,"[""Prostate biopsy interpretation"", ""Histological features of prostate cancer"", ""Differential diagnosis of small acinar lesions in the prostate""]",male,70,years,Adult (18+)
14394,بیمار 60 ساله ای به دلیل تب، ضعف، کاهش وزن، سردرد و تاری دید مراجعه کرده است. در بررسی میکروسکوپی ضخیم شدگی گرهی انتیما و ترومبوز وجود دارد. التهاب گرانولوماتوز همراه با ارتشاح لنفوسیت ها و ماکروفاژ ها در نیمه داخلی مدیا همراه با قطعه قطعه شدن لایه الاستیک داخلی دیده می شود. کدام یک از موارد زیر صحیح است؟,"{'1': 'کورتیکواستروئید درمان مؤثر است. ', '2': 'یک\u200c بیوپسی منفی تشخیص را رد می\u200cکند. ', '3': 'منحصراً سرخرگ\u200cهای تمپورال درگیر می\u200cشوند. ', '4': 'شیوع آن در افراد جوان بالاتر است.'}",پاتولوژی,1394,1,"A 60-year-old patient presented with fever, weakness, weight loss, headache, and blurred vision. Microscopic examination shows nodular thickening of the intima and thrombosis. Granulomatous inflammation with infiltration of lymphocytes and macrophages in the inner half of the media along with fragmentation of the internal elastic lamina is seen. Which of the following is correct?","{""1"": ""Corticosteroid treatment is effective."", ""2"": ""A negative biopsy rules out the diagnosis."", ""3"": ""Only temporal arteries are involved."", ""4"": ""Its prevalence is higher in young individuals.""}",Pathology,pathophysiology,case_scenario,rheumatology,vasculitis,intermediate,1.0,"[""Pathophysiology of giant cell arteritis"", ""Histological findings in giant cell arteritis"", ""Clinical presentation of giant cell arteritis""]",unspecified,60,years,Adult (18+)
17614,مرد 40 ساله‌ای به علت عود مکرر زخم دوازدهه و تنگی شدید بولب با انسداد نسبی آن علیرغم درمان طبی، کاندید جراحی است. بررسی هلیکوباکتر پیلوری در وی منفی است. در اولین مرحله انجام کدامیک از موارد زیر قبل از عمل جراحی ضروری است؟,"{'1': 'سنجش گاسترین سرم در حالت ناشتا ', '2': 'اندوسونوگرافی پانکراس ', '3': 'تست تحریکی با سکرتین ', '4': 'Somatostatin-receptor scintigraphy'}",گوارش,1393,1,A 40-year-old man is a candidate for surgery due to recurrent duodenal ulcer and severe bulb stenosis with partial obstruction despite medical treatment. Helicobacter pylori test is negative. Which of the following is necessary as the first step before surgery?,"{""1"": ""Fasting serum gastrin measurement"", ""2"": ""Pancreatic endosonography"", ""3"": ""Secretin stimulation test"", ""4"": ""Somatostatin-receptor scintigraphy""}",Gastroenterology,treatment,direct_question,gastroenterology,Peptic Ulcer Disease,intermediate,1.0,"[""Management of complicated peptic ulcer disease"", ""Pre-operative evaluation for gastrointestinal surgery"", ""Surgical indications for peptic ulcer disease""]",male,40,years,Adult (18+)
17284,آقای 37 ساله غیرسیگاری به علت هموپتیزی خفیف تکرارشونده در طی 6 ماه گذشته مراجعه کرده است. اولین اقدام تشخیصی شما چیست؟,"{'1': 'Chest CT Scan ', '2': 'استرس اکوکاردیوگرافی ', '3': 'برونکوسکوپی فیبراپتیک ', '4': 'آنژیوگرافی عروق ریوی'}",ریه,1394,1,A 37-year-old non-smoker male presents with recurrent mild hemoptysis over the past 6 months. What is your initial diagnostic step?,"{""1"": ""Chest CT Scan "", ""2"": ""Stress Echocardiography "", ""3"": ""Fiberoptic Bronchoscopy "", ""4"": ""Pulmonary Angiography""}",Pulmonology,diagnosis,direct_question,pulmonology,Hemoptysis,intermediate,1.0,"[""Differential diagnosis of hemoptysis"", ""Initial diagnostic steps for hemoptysis""]",male,37,years,Adult (18+)
5826,خانم 25 ساله G1 در هفته 10 بارداری به علت یک توده کیستیک 8 سانتی‌متری در تخمدان راست مراجعه کرده است. بهترین اقدام کدام است؟,"{'1': 'لاپاراتومی ', '2': 'لاپاراسکوپی ', '3': 'بیوپسی با گاید سونوگرافی ', '4': 'بررسی مجدد در هفته 16 بارداری'}",زنان,1397,4,A 25-year-old G1 woman at 10 weeks of pregnancy presented with an 8 cm cystic mass in the right ovary. What is the best course of action?,"{""1"": ""Laparotomy"", ""2"": ""Laparoscopy"", ""3"": ""Ultrasound-guided biopsy"", ""4"": ""Re-evaluation at 16 weeks of pregnancy""}",Obstetrics and Gynecology,treatment,direct_question,gynecology,Obstetrics,intermediate,1.0,"[""Management of adnexal masses in pregnancy"", ""Obstetric management in the first trimester""]",female,25,years,Adult (18+)
18546,بیمار خانم 45 ساله با MBI = 25 کیلوگرم بر متر مربع، با مشکل پلی اوری و پلی دیپسی و هشت کیلوگرم کاهش وزن از دو ماه پیش به پزشک مراجعه کرده است. آزمایشات در دو نوبت مجزا (پس از هشت ساعت ناشتا بودن) قند خون 400 و 450 میلی گرم در دسی لیتر نشان داده است. بهترین توصیه درمانی کدام است؟,"{'1': 'متفورمین ', '2': 'انسولین ', '3': 'گلی بن کلامید ', '4': 'آکاربوز'}",غدد,1393,2,"A 45-year-old female patient with a BMI of 25 kg/m², presenting with polyuria, polydipsia, and an 8 kg weight loss over the past two months, has visited a physician. Laboratory tests on two separate occasions (after 8 hours of fasting) showed blood glucose levels of 400 and 450 mg/dL. What is the best treatment recommendation?","{""1"": ""Metformin"", ""2"": ""Insulin"", ""3"": ""Glyburide"", ""4"": ""Acarbose""}",Endocrinology,treatment,case_scenario,endocrinology,diabetes_mellitus,intermediate,1.0,"[""diabetes diagnosis criteria"", ""symptoms of diabetes"", ""initial management of newly diagnosed diabetes"", ""pharmacological treatment options for diabetes""]",female,45,years,Adult (18+)
2626,خانم 30 ساله ای با شکایت تنفس دهانی که طی سال گذشته بوجود آمده و اخیرا شدت پیدا کرده است مراجعه نموده است.در معاینه دهان لوزه طبیعی است ولی توده ای کیستیک در پشت حلق دیده میشود که نازوفارنکس را پر کرده است و درسی تی اسکن سینوس فقط سینوس ماگزیلاری یک طرف درگیر است. محتملترین تشخیص کدام است؟,"{'1': 'آنژیوفیبرم نازوفارنکس ', '2': 'پولیپ سینوس اسفنوئید ', '3': 'پولیپ کوانال ', '4': 'سندروم چرچ- استروس'}",گوش حلق بینی,1400,3,"A 30-year-old woman presents with a complaint of mouth breathing that developed over the past year and has recently worsened. On oral examination, the tonsils are normal, but a cystic mass is seen behind the pharynx filling the nasopharynx. CT scan of the sinuses shows involvement of only one maxillary sinus. What is the most likely diagnosis?","{""1"": ""Nasopharyngeal Angiofibroma"", ""2"": ""Sphenoid Sinus Polyp"", ""3"": ""Choanal Polyp"", ""4"": ""Churg-Strauss Syndrome""}",ENT/Otolaryngology,diagnosis,case_scenario,otolaryngology,nasopharynx,intermediate,1.0,"[""Differential diagnosis of nasopharyngeal masses"", ""Interpretation of CT scans of sinuses and nasopharynx"", ""Clinical presentation of nasopharyngeal obstruction""]",female,30,years,Adult (18+)
